Woreda,Kebele,Village Name,Name of water system,Latitude,Longitude,Elevation,Photo,Year of construction (EFY),on spot or have distribution,Number of water points,# Non functional water points,Total HH beneficiaries,#house hold connections,Type of water system,water source fenced,guard at source,Type of lifting device (on spot),Type of hand pump,Type of power source,Functionality Status,Has the system ever been maintained/Rehabilitated?,water quality test conducted regularly,Water quality complain from user community,What is the complain ?,Who manages the system?,Year of WASHCO established (EFY),Are all WASHCO members active?,Date of last woreda visit to the WASHCO (EFY)?,Was there WASHCO training?,Date of last WASHCO training (EFY),# of women WASHCO members,Does the WASHCO have bank account?,When was the bank account opened (EFY)?,the last audit conducted (EFY),Water fee collection,Fee collection Modality,Fee collected regularly,How many Birr per specified modality,
Mana,Doyo-Biqilaa,warsuu,burqaa she sharif,7.648152642,36.76780401,1809,https://akvoflow-23.s3.amazonaws.com/images/df3d562b-fcd3-4b67-b3df-935dde09270f.jpg,2008-12-05,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,Yes,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,baqee,burqaa nagadee,7.649021357,36.76144033,1793,https://akvoflow-23.s3.amazonaws.com/images/710d7927-8d07-42c3-aeba-46e05a931cae.jpg,2000-12-05,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,tullama,burqaa dungee,7.648819806,36.75341014,1807,https://akvoflow-23.s3.amazonaws.com/images/86d91db5-a952-4d7b-bca0-bf7ebe1fe653.jpg,2001-11-05,On Spot,,,26,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,baqee,burqa giddachee,7.639540116,36.75984534,1781,https://akvoflow-23.s3.amazonaws.com/images/9f14abeb-2719-4f33-ba6e-9315e6392641.jpg,2003-11-05,On Spot,,,45,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,xururoo,burqaa eboo,7.665002294,36.76551681,1872,https://akvoflow-23.s3.amazonaws.com/images/0d57289e-99ab-4c34-b5be-aa3b616ff0b8.jpg,2001-11-05,On Spot,,,36,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,malkoo,burqaa ayyaa,7.661923372,36.76184453,1785,https://akvoflow-23.s3.amazonaws.com/images/c4cc5954-7290-47a9-8ba6-3714511e90de.jpg,2001-11-05,On Spot,,,24,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,xuxuroo,burqaa kokkolaa,7.668446737,36.75490473,1813,https://akvoflow-23.s3.amazonaws.com/images/a32a3f81-491b-4a9e-a3b5-f2c566c7c52c.jpg,2009-10-05,On Spot,,,40,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,mantinaa,burqaa albee,7.684226286,36.7536667,1768,https://akvoflow-23.s3.amazonaws.com/images/ade0f4a8-1800-4fdb-8889-ca9a27565ac7.jpg,2004-12-05,On Spot,,,20,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,mantinaa,burqaa,7.683768039,36.75721091,1867,https://akvoflow-23.s3.amazonaws.com/images/2a6c850d-43a4-4fa9-be58-1900a88f4fb7.jpg,2006-09-05,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
Mana,Doyo-Biqilaa,massoo,almganaa,7.683220321,36.76315024,1783,https://akvoflow-23.s3.amazonaws.com/images/95b6a76a-7d7c-423a-8911-1bddaa95b289.jpg,2012-11-05,On Spot,,,45,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,,No,,No,,3,No,,,No,,No,,
